StimSet,UpBrack,StimDur,RetStart,RetDur,ProbeStart,ProbeDur,ProbeLet,BotBrack,TrialDur,ITI,TrialITIDur,Correct,ProbeDurITI
THGYKD,456,2.5,2.5,4,6.5,0, ,0,6.5,5.11,11.61,6,5.11
YXDHLJ,123456,2.5,2.5,4,6.5,2.5,bkgmwt,4,9,4.603,13.603,7,7.103
RKLNMG,123456,2.5,2.5,4,6.5,2.5,xjywdh,4,9,4.821,13.821,7,7.321
DQWMLX,234,2.5,2.5,4,6.5,0, ,0,6.5,4.512,11.012,7,4.512
BDXRHW,2345,2.5,2.5,4,6.5,0, ,0,6.5,4.599,11.099,7,4.599
GLRKJM,123456,2.5,2.5,4,6.5,0, ,0,6.5,4.966,11.466,7,4.966
FQWHGB,1234,2.5,2.5,4,6.5,2.5,rdwynt,3,9,4.158,13.158,6,6.658
DLWJMT,123,2.5,2.5,4,6.5,2.5,nhgkqx,4,9,4.217,13.217,7,6.717
DXTYHW,12345,2.5,2.5,4,6.5,2.5,krbnjq,5,9,4.384,13.384,7,6.884
HKLTRQ,12345,2.5,2.5,4,6.5,0, ,0,6.5,6.316,12.816,7,6.316
MDYBKR,1234,2.5,2.5,4,6.5,2.5,xbhlnq,2,9,4.016,13.016,6,6.516
HJBKFN,34,2.5,2.5,4,6.5,0, ,0,6.5,5.073,11.573,7,5.073
XQJLDG,6,2.5,2.5,4,6.5,2.5,wtrgyn,4,9,4.181,13.181,6,6.681
QLTGFR,34,2.5,2.5,4,6.5,0, ,0,6.5,4.619,11.119,6,4.619
DXWKBY,345,2.5,2.5,4,6.5,2.5,qgnfjm,4,9,4.188,13.188,7,6.688
YDTFGR,345,2.5,2.5,4,6.5,2.5,xwnfhm,4,9,4.065,13.065,6,6.565
NXKQLF,5,2.5,2.5,0,2.5,0, ,0,2.5,3.776,6.276,7,3.776
WKDGHQ,12,2.5,2.5,0,2.5,2.5,rnjtmx,4,5,3.277,8.277,7,5.777
QFXYND,23,2.5,2.5,4,6.5,2.5,kfbrmg,2,9,4.463,13.463,6,6.963
GLNFTH,56,2.5,2.5,4,6.5,2.5,dmjqxr,6,9,4.072,13.072,7,6.572
MDBFJR,12345,2.5,2.5,0,2.5,0, ,0,2.5,3.563,6.063,6,3.563
