StimSet,UpBrack,StimDur,RetStart,RetDur,ProbeStart,ProbeDur,ProbeLet,BotBrack,TrialDur,ITI,TrialITIDur,Correct,ProbeDurITI
QBMKWD,123456,2.5,2.5,0,2.5,0, ,0,2.5,3.577,6.077,6,3.577
MYQJWH,123456,2.5,2.5,0,2.5,0, ,0,2.5,3.949,6.449,7,3.949
JKDHQN,3,2.5,2.5,0,2.5,2.5,gbxdtm,4,5,3.92,8.92,6,6.42
DTQJWX,2345,2.5,2.5,4,6.5,2.5,fhqlrm,3,9,4.053,13.053,6,6.553
NQWRGT,123456,2.5,2.5,4,6.5,2.5,lmjhky,4,9,4.365,13.365,7,6.865
KLMWHB,56,2.5,2.5,4,6.5,0, ,0,6.5,4.622,11.122,7,4.622
RBXYLJ,23456,2.5,2.5,4,6.5,2.5,bqhgkm,1,9,4.049,13.049,6,6.549
JXBMFD,12,2.5,2.5,4,6.5,2.5,jtngqh,1,9,4.186,13.186,6,6.686
WGHTRM,4,2.5,2.5,0,2.5,0, ,0,2.5,3.794,6.294,7,3.794
FMGYRL,12345,2.5,2.5,0,2.5,0, ,0,2.5,3.521,6.021,7,3.521
NBRLGF,1234,2.5,2.5,4,6.5,2.5,yqrtdk,3,9,5.022,14.022,6,7.522
RLDNYJ,456,2.5,2.5,4,6.5,2.5,mqfkxh,1,9,4.463,13.463,7,6.963
JGTWRX,345,2.5,2.5,4,6.5,2.5,kdwbnq,3,9,4.833,13.833,6,7.333
JGQFDT,1234,2.5,2.5,4,6.5,0, ,0,6.5,4.769,11.269,6,4.769
RFTXJW,123456,2.5,2.5,4,6.5,2.5,jbkygd,1,9,4.097,13.097,6,6.597
MHFQNW,123456,2.5,2.5,4,6.5,2.5,bhxygr,2,9,4.421,13.421,6,6.921
RJQXFY,234,2.5,2.5,4,6.5,2.5,qhnmbw,1,9,4.013,13.013,6,6.513
GBTKQH,234,2.5,2.5,4,6.5,2.5,dfljwy,5,9,4.751,13.751,7,7.251
BLDJFM,34,2.5,2.5,4,6.5,2.5,yjhtwq,2,9,4.184,13.184,6,6.684
JRGXFB,12345,2.5,2.5,4,6.5,2.5,htlkqm,4,9,4.372,13.372,7,6.872
XBRTGY,23456,2.5,2.5,4,6.5,2.5,fkwnjd,5,9,5.413,14.413,7,7.913
BRFTXJ,1234,2.5,2.5,4,6.5,2.5,nhgklm,6,9,4.245,13.245,7,6.745
BLNYMG,23456,2.5,2.5,4,6.5,2.5,gqdthf,1,9,4.004,13.004,6,6.504
TMLNFQ,2,2.5,2.5,4,6.5,2.5,dwrkxm,6,9,4.136,13.136,6,6.636
XLMQBK,5,2.5,2.5,4,6.5,2.5,fhgynw,3,9,4.03,13.03,7,6.53
