StimSet,UpBrack,StimDur,RetStart,RetDur,ProbeStart,ProbeDur,ProbeLet,BotBrack,TrialDur,ITI,TrialITIDur,Correct,ProbeDurITI
XWMYTB,234,2.5,2.5,4,6.5,2.5,hdnmfk,4,9,4.12,13.12,6,6.62
JKFLDH,2345,2.5,2.5,4,6.5,2.5,ynqxrg,3,9,4.417,13.417,7,6.917
NHWFQR,123456,2.5,2.5,0,2.5,2.5,xbktqj,5,5,4.972,9.972,6,7.472
QWYKRB,123,2.5,2.5,4,6.5,0, ,0,6.5,4.524,11.024,7,4.524
HXTQMD,2345,2.5,2.5,0,2.5,0, ,0,2.5,3.502,6.002,7,3.502
GRKBTJ,123,2.5,2.5,4,6.5,2.5,nymxql,5,9,4.021,13.021,7,6.521
XTRNKH,3456,2.5,2.5,4,6.5,0, ,0,6.5,4.886,11.386,7,4.886
WLRJNG,6,2.5,2.5,0,2.5,0, ,0,2.5,3.538,6.038,6,3.538
XTNJWF,3456,2.5,2.5,4,6.5,2.5,ygbqdh,4,9,4.415,13.415,7,6.915
KXBLTD,12,2.5,2.5,4,6.5,2.5,mnygrf,3,9,4.128,13.128,7,6.628
QRFJDH,345,2.5,2.5,4,6.5,0, ,0,6.5,4.515,11.015,6,4.515
MXRTLF,123456,2.5,2.5,4,6.5,2.5,bylqkd,3,9,4.164,13.164,6,6.664
FJKMBQ,123456,2.5,2.5,0,2.5,0, ,0,2.5,4.017,6.517,7,4.017
YMQHXG,123456,2.5,2.5,4,6.5,2.5,twrkjy,6,9,4.074,13.074,6,6.574
JFRBMN,3456,2.5,2.5,4,6.5,2.5,nhgxqt,1,9,5.255,14.255,6,7.755
GMBFLX,12345,2.5,2.5,4,6.5,2.5,hqydrt,2,9,4.516,13.516,7,7.016
MGJHDF,12345,2.5,2.5,0,2.5,0, ,0,2.5,3.801,6.301,6,3.801
WMJNLK,456,2.5,2.5,0,2.5,2.5,tdyxhb,6,5,3.025,8.025,7,5.525
QGMLKT,1234,2.5,2.5,4,6.5,2.5,qhyndw,1,9,4.312,13.312,6,6.812
NHQMRX,23,2.5,2.5,4,6.5,2.5,ljhtbw,3,9,4.003,13.003,6,6.503
NTKWBY,4,2.5,2.5,0,2.5,2.5,dxmrgw,6,5,3.6,8.6,6,6.1
YLTXNK,45,2.5,2.5,0,2.5,0, ,0,2.5,3.539,6.039,7,3.539
XYDNTF,456,2.5,2.5,4,6.5,2.5,btmrgk,2,9,4.147,13.147,6,6.647
DHWBGK,5,2.5,2.5,4,6.5,2.5,grxjnq,1,9,4.173,13.173,6,6.673
BMLJWY,23,2.5,2.5,0,2.5,2.5,ktnxfh,2,5,3.096,8.096,7,5.596
KHGWLF,123456,2.5,2.5,0,2.5,2.5,dqyxtn,2,5,3.202,8.202,7,5.702
KYTQLJ,12345,2.5,2.5,4,6.5,2.5,qxgwrd,1,9,5.671,14.671,6,8.171
XYLWHD,1,2.5,2.5,0,2.5,0, ,0,2.5,3.689,6.189,7,3.689
LNFKGJ,3456,2.5,2.5,4,6.5,0, ,0,6.5,4.863,11.363,6,4.863
GYHWQK,23456,2.5,2.5,4,6.5,2.5,djxnrf,1,9,4.052,13.052,7,6.552
RYNLWB,45,2.5,2.5,0,2.5,2.5,jmtghl,6,5,3.121,8.121,6,5.621
TYBDRX,23456,2.5,2.5,0,2.5,0, ,0,2.5,3.603,6.103,7,3.603
XDYGRT,234,2.5,2.5,0,2.5,0, ,0,2.5,3.545,6.045,7,3.545
HYDTGR,123,2.5,2.5,0,2.5,0, ,0,2.5,3.51,6.01,6,3.51
WNDHRY,123456,2.5,2.5,4,6.5,2.5,txbkml,3,9,4.011,13.011,7,6.511
NJWFRG,23,2.5,2.5,4,6.5,2.5,lkqmdj,6,9,4.146,13.146,6,6.646
BTXWRQ,23,2.5,2.5,4,6.5,2.5,mykndj,4,9,4.185,13.185,7,6.685
MYXJNT,1,2.5,2.5,4,6.5,0, ,0,6.5,4.545,11.045,6,4.545
HBYLMQ,3456,2.5,2.5,0,2.5,0, ,0,2.5,3.543,6.043,6,3.543
GLMNYH,12345,2.5,2.5,0,2.5,2.5,knqwxb,2,5,3.427,8.427,6,5.927
WHXFRB,234,2.5,2.5,4,6.5,2.5,jdglqm,2,9,4.278,13.278,7,6.778
JRWBTF,123456,2.5,2.5,4,6.5,2.5,lgbnqh,3,9,4.002,13.002,6,6.502
BDLTMY,123456,2.5,2.5,4,6.5,0, ,0,6.5,4.567,11.067,6,4.567
QMGDKH,45,2.5,2.5,4,6.5,2.5,tlxrjy,4,9,4.374,13.374,7,6.874
YWDLHX,23456,2.5,2.5,4,6.5,2.5,tlfbjr,2,9,4.155,13.155,6,6.655
HGFJRD,23,2.5,2.5,4,6.5,0, ,0,6.5,4.553,11.053,6,4.553
TNJHXF,5,2.5,2.5,4,6.5,2.5,xgqrdk,1,9,4.055,13.055,6,6.555
QWNGHM,4,2.5,2.5,4,6.5,0, ,0,6.5,4.779,11.279,7,4.779
XLNJFR,123456,2.5,2.5,4,6.5,0, ,0,6.5,4.955,11.455,7,4.955
DYKFTL,5,2.5,2.5,4,6.5,2.5,nhqjmr,3,9,4.052,13.052,7,6.552
BYFQKT,4,2.5,2.5,0,2.5,2.5,hrxljn,3,5,3.465,8.465,7,5.965
