StimSet,UpBrack,StimDur,RetStart,RetDur,ProbeStart,ProbeDur,ProbeLet,BotBrack,TrialDur,ITI,TrialITIDur,Correct,ProbeDurITI
FKMLQB,45,2,2,5,7,2,jdwnqr,5,9,4.004,13.004,6,6.004
NTWHYG,123456,2,2,5,7,2,qdrbjk,3,9,4.166,13.166,7,6.166
BQDTJX,2345,2,2,0,2,2,mrkhdw,5,4,4.294,8.294,6,6.294
HNLYGQ,123,2,2,5,7,0, ,0,7,4.361,11.361,7,4.361
GTQJKD,34,2,2,5,7,0, ,0,7,4.247,11.247,6,4.247
DHLTQN,123456,2,2,5,7,0, ,0,7,4.428,11.428,7,4.428
MDHTBK,3456,2,2,5,7,2,lnrjbq,5,9,4.748,13.748,6,6.748
KJQWFN,2345,2,2,0,2,0, ,0,2,4.863,6.863,7,4.863
GDHQYL,345,2,2,0,2,2,xfkbmr,3,4,4.7,8.7,7,6.7
DKWJGL,23456,2,2,5,7,0, ,0,7,4.116,11.116,6,4.116
RWYKXJ,123456,2,2,5,7,0, ,0,7,4.743,11.743,6,4.743
QBXNRY,4,2,2,5,7,2,lnkmdt,2,9,4.011,13.011,6,6.011
BHNXFR,56,2,2,0,2,2,qlkrtg,4,4,4.205,8.205,6,6.205
HLRYMN,12,2,2,0,2,0, ,0,2,4.025,6.025,7,4.025
MKWYLR,1234,2,2,5,7,2,ghnjqx,6,9,4.1,13.1,7,6.1
RBXYTL,1,2,2,5,7,0, ,0,7,4.729,11.729,6,4.729
QBMKWD,123456,2,2,0,2,0, ,0,2,4.077,6.077,6,4.077
MYQJWH,123456,2,2,0,2,0, ,0,2,4.449,6.449,7,4.449
JKDHQN,3,2,2,0,2,2,gbxdtm,4,4,4.92,8.92,6,6.92
DTQJWX,2345,2,2,5,7,2,fhqlrm,3,9,4.053,13.053,6,6.053
NQWRGT,123456,2,2,5,7,2,lmjhky,4,9,4.365,13.365,7,6.365
KLMWHB,56,2,2,5,7,0, ,0,7,4.122,11.122,7,4.122
RBXYLJ,23456,2,2,5,7,2,bqhgkm,1,9,4.049,13.049,6,6.049
JXBMFD,12,2,2,5,7,2,jtngqh,1,9,4.186,13.186,6,6.186
WGHTRM,4,2,2,0,2,0, ,0,2,4.294,6.294,7,4.294
FMGYRL,12345,2,2,0,2,0, ,0,2,4.021,6.021,7,4.021
NBRLGF,1234,2,2,5,7,2,yqrtdk,3,9,5.022,14.022,6,7.022
RLDNYJ,456,2,2,5,7,2,mqfkxh,1,9,4.463,13.463,7,6.463
JGTWRX,345,2,2,5,7,2,kdwbnq,3,9,4.833,13.833,6,6.833
JGQFDT,1234,2,2,5,7,0, ,0,7,4.269,11.269,6,4.269
RFTXJW,123456,2,2,5,7,2,jbkygd,1,9,4.097,13.097,6,6.097
MHFQNW,123456,2,2,5,7,2,bhxygr,2,9,4.421,13.421,6,6.421
RJQXFY,234,2,2,5,7,2,qhnmbw,1,9,4.013,13.013,6,6.013
GBTKQH,234,2,2,5,7,2,dfljwy,5,9,4.751,13.751,7,6.751
BLDJFM,34,2,2,5,7,2,yjhtwq,2,9,4.184,13.184,6,6.184
JRGXFB,12345,2,2,5,7,2,htlkqm,4,9,4.372,13.372,7,6.372
XBRTGY,23456,2,2,5,7,2,fkwnjd,5,9,5.413,14.413,7,7.413
BRFTXJ,1234,2,2,5,7,2,nhgklm,6,9,4.245,13.245,7,6.245
BLNYMG,23456,2,2,5,7,2,gqdthf,1,9,4.004,13.004,6,6.004
TMLNFQ,2,2,2,5,7,2,dwrkxm,6,9,4.136,13.136,6,6.136
XLMQBK,5,2,2,5,7,2,fhgynw,3,9,4.03,13.03,7,6.03
